book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,no_of_pages,image_name
The House of the Spirits,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits,Isabel Allende,4.29,299660,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621672028i/9328._SY75_.jpg,448.0,cover_835.png
The Prince of Tides,https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,Pat Conroy,4.26,213308,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512744907i/16735._SY75_.jpg,679.0,cover_836.png
The Lucky One,https://www.goodreads.com/book/show/3063499-the-lucky-one,Nicholas Sparks,4.13,371073,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420816338i/3063499._SY75_.jpg,326.0,cover_837.png
Defending Jacob,https://www.goodreads.com/book/show/11367726-defending-jacob,William Landay,4.00,307625,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329612158i/11367726._SY75_.jpg,421.0,cover_838.png
A Monster Calls,https://www.goodreads.com/book/show/25480342-a-monster-calls,Patrick Ness,4.35,281786,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430763000i/25480342._SY75_.jpg,237.0,cover_839.png
The Nickel Boys,https://www.goodreads.com/book/show/42270835-the-nickel-boys,Colson Whitehead,4.26,285151,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593115396i/42270835._SY75_.jpg,213.0,cover_840.png
The Westing Game,https://www.goodreads.com/book/show/902.The_Westing_Game,Ellen Raskin,4.00,227749,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356850909i/902._SX50_.jpg,182.0,cover_841.png
Julius Caesar,https://www.goodreads.com/book/show/13006.Julius_Caesar,William Shakespeare,3.71,214453,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631505382i/13006._SX50_.jpg,175.0,cover_842.png
Good to Great: Why Some Companies Make the Leap... and Others Don't,https://www.goodreads.com/book/show/76865.Good_to_Great,Jim Collins,4.12,273025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546097703i/76865._SY75_.jpg,300.0,cover_843.png
"The Great Hunt (The Wheel of Time, #2)",https://www.goodreads.com/book/show/233649.The_Great_Hunt,Robert Jordan,4.27,343027,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905799i/233649._SY75_.jpg,705.0,cover_844.png
"Lean In: Women, Work, and the Will to Lead",https://www.goodreads.com/book/show/16071764-lean-in,Sheryl Sandberg,3.95,266066,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630483761i/16071764._SY75_.jpg,217.0,cover_845.png
"The Blade Itself (The First Law, #1)",https://www.goodreads.com/book/show/944073.The_Blade_Itself,Joe Abercrombie,4.22,285270,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1747782133i/944073._SY75_.jpg,515.0,cover_846.png
"The Last Mrs. Parrish (Mrs. Parrish, #1)",https://www.goodreads.com/book/show/34043643-the-last-mrs-parrish,Liv Constantine,3.96,436450,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486501028i/34043643._SY75_.jpg,560.0,cover_847.png
Under the Tuscan Sun: At Home in Italy,https://www.goodreads.com/book/show/480479.Under_the_Tuscan_Sun,Frances Mayes,3.77,328722,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524083i/480479._SY75_.jpg,304.0,cover_848.png
The Storyteller,https://www.goodreads.com/book/show/15753740-the-storyteller,Jodi Picoult,4.30,260339,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356328634i/15753740._SY75_.jpg,461.0,cover_849.png
"One Fish, Two Fish, Red Fish, Blue Fish",https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,Dr. Seuss,4.18,211644,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1165640023i/7770._SX50_.jpg,64.0,cover_850.png
Maybe in Another Life,https://www.goodreads.com/book/show/23492661-maybe-in-another-life,Taylor Jenkins Reid,3.79,338541,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424970519i/23492661._SY75_.jpg,342.0,cover_851.png
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,https://www.goodreads.com/book/show/7933292-heaven-is-for-real,Todd Burpo,4.04,332960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348467278i/7933292._SY75_.jpg,162.0,cover_852.png
