book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
"Old Man's War (Old Man's War, #1)",https://www.goodreads.com/book/show/36510196-old-man-s-war,John Scalzi,4.23,223613,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509467059i/36510196._SY75_.jpg,0.0,318.0,cover_1260.png
"The Maddest Obsession (Made, #2)",https://www.goodreads.com/book/show/40613322-the-maddest-obsession,Danielle Lori,4.24,233271,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552162019i/40613322._SX50_.jpg,0.0,333.0,cover_1261.png
Deep End,https://www.goodreads.com/book/show/212808709-deep-end,Ali Hazelwood,3.86,431882,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718998299i/212808709._SX50_.jpg,0.0,464.0,cover_1262.png
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",https://www.goodreads.com/book/show/7937462-the-short-second-life-of-bree-tanner,Stephenie Meyer,3.52,242618,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1274335680i/7937462._SY75_.jpg,0.0,178.0,cover_1263.png
All Good People Here,https://www.goodreads.com/book/show/60142750-all-good-people-here,Ashley Flowers,3.82,333319,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1642984407i/60142750._SY75_.jpg,0.0,312.0,cover_1264.png
Home Before Dark,https://www.goodreads.com/book/show/50833559-home-before-dark,Riley Sager,4.04,311652,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571683410l/50833559._SX50_SY75_.jpg,0.0,389.0,cover_1265.png
"Legends & Lattes (Legends & Lattes, #1)",https://www.goodreads.com/book/show/61242426-legends-lattes,Travis Baldree,4.04,327093,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654581271i/61242426._SY75_.jpg,0.0,296.0,cover_1266.png
The Ministry of Time,https://www.goodreads.com/book/show/199798179-the-ministry-of-time,Kaliane Bradley,3.57,215990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1716480921i/199798179._SY75_.jpg,0.0,339.0,cover_1267.png
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset,Suzanne Collins,4.50,234444,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673i/7938275._SY75_.jpg,0.0,1155.0,cover_1268.png
"Royal Assassin (Farseer Trilogy, #2)",https://www.goodreads.com/book/show/25300956-royal-assassin,Robin Hobb,4.29,240987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428234219i/25300956._SY75_.jpg,0.0,675.0,cover_1269.png
"Imagine Me (Shatter Me, #6)",https://www.goodreads.com/book/show/44054122-imagine-me,Tahereh Mafi,4.01,304391,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563815428i/44054122._SY75_.jpg,0.0,450.0,cover_1270.png
"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",https://www.goodreads.com/book/show/62335396-the-ashes-the-star-cursed-king,Carissa Broadbent,4.07,470205,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711665192i/62335396._SY75_.jpg,0.0,626.0,cover_1271.png
"Rhythm of War (The Stormlight Archive, #4)",https://www.goodreads.com/book/show/49021976-rhythm-of-war,Brandon Sanderson,4.58,237234,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599911216i/49021976._SY75_.jpg,0.0,1232.0,cover_1272.png
The Berry Pickers,https://www.goodreads.com/book/show/123036004-the-berry-pickers,Amanda Peters,4.08,302962,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677605623i/123036004._SX50_.jpg,0.0,307.0,cover_1273.png
